"Economy","Economy.Code","ISO.Code","Region","Income.Group","Report.Year","WBL.INDEX","MOBILITY","Can.a.woman.choose.where.to.live.in.the.same.way.as.a.man.","Can.a.woman.travel.outside.her.home.in.the.same.way.as.a.man.","Can.a.woman.apply.for.a.passport.in.the.same.way.as.a.man.","Can.a.woman.travel.outside.the.country.in.the.same.way.as.a.man.","WORKPLACE","Can.a.woman.get.a.job.in.the.same.way.as.a.man.","Does.the.law.prohibit.discrimination.in.employment.based.on.gender.","Is.there.legislation.on.sexual.harassment.in.employment.","Are.there.criminal.penalties.or.civil.remedies.for.sexual.harassment.in.employment.","PAY","Does.the.law.mandate.equal.remuneration.for.work.of.equal.value.","Can.a.woman.work.at.night.in.the.same.way.as.a.man.","Can.a.woman.work.in.a.job.deemed.dangerous.in.the.same.way.as.a.man.","Can.a.woman.work.in.an.industrial.job.in.the.same.way.as.a.man.","MARRIAGE","Is.the.law.free.of.legal.provisions.that.require.a.married.woman.to.obey.her.husband.","Can.a.woman.be.head.of.household.in.the.same.way.as.a.man.","Is.there.legislation.specifically.addressing.domestic.violence.","Can.a.woman.obtain.a.judgment.of.divorce.in.the.same.way.as.a.man.","Does.a.woman.have.the.same.rights.to.remarry.as.a.man.","PARENTHOOD","Is.paid.leave.of.at.least.14.weeks.available.to.mothers.","Length.of.paid.maternity.leave","Does.the.government.administer.100.percent.of.maternity.leave.benefits.","Is.there.paid.leave.available.to.fathers.","Length.of.paid.paternity.leave","Is.there.paid.parental.leave.","Shared.days","Days.for.the.mother","Days.for.the.father","Is.dismissal.of.pregnant.workers.prohibited.","ENTREPRENEURSHIP","Does.the.law.prohibit.discrimination.in.access.to.credit.based.on.gender.","Can.a.woman.sign.a.contract.in.the.same.way.as.a.man.","Can.a.woman.register.a.business.in.the.same.way.as.a.man.","Can.a.woman.open.a.bank.account.in.the.same.way.as.a.man.","ASSETS","Do.women.and.men.have.equal.ownership.rights.to.immovable.property.","Do.sons.and.daughters.have.equal.rights.to.inherit.assets.from.their.parents.","Do.male.and.female.surviving.spouses.have.equal.rights.to.inherit.assets.","Does.the.law.grant.spouses.equal.administrative.authority.over.assets.during.marriage.","Does.the.law.provide.for.the.valuation.of.nonmonetary.contributions.","PENSION","Is.the.age.at.which.women.and.men.can.retire.with.full.pension.benefits.the.same.","Is.the.age.at.which.women.and.men.can.retire.with.partial.pension.benefits.the.same.","Is.the.mandatory.retirement.age.for.women.and.men.the.same.","Are.periods.of.absence.due.to.childcare.accounted.for.in.pension.benefits.","match","X","Country.Code","Foreign_direct_investment","agriculture_forestry_value_added","GNI.per.capita","net_barter_terms_of_trade_index","gdp_per_person_employed"
"malta","MLT","MLT","Middle East & North Africa","High income",2018,88.8,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",100,"Yes","Yes","Yes","Yes","Yes",60,"Yes",126,"No","Yes",1,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,159,"MLT",29.12,3.41,27610,98.74,103841.46
"marshall islands","MHL","MHL","East Asia & Pacific","Upper middle income",2018,56.3,100,"Yes","Yes","Yes","Yes",25,"Yes","No","No","No",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",0,"No",0,"No","No",0,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",0,"No","No","No","No","No",75,"Yes","Yes","Yes","No",TRUE,155,"MHL",4.44,20.88,5940,102.06,39516.06
"mauritania","MRT","MRT","Sub-Saharan Africa","Lower middle income",2018,48.1,100,"Yes","Yes","Yes","Yes",25,"No","Yes","No","No",25,"No","Yes","No","No",0,"No","No","No","No","No",60,"Yes",98,"Yes","Yes",1,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",0,"No","No","No","No","No",100,"Yes","Yes","Yes","Yes",TRUE,166,"MRT",10.34,3.41,1710,106.92,29861.74
"mauritius","MUS","MUS","Sub-Saharan Africa","Upper middle income",2018,89.4,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",80,"Yes","Yes","Yes","Yes","No",60,"Yes",98,"No","Yes",7,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,167,"MUS",3.13,-1.29,11910,94.27,55696.39
"mexico","MEX","MEX","Latin America & Caribbean","Upper middle income",2018,88.8,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",60,"No",84,"Yes","Yes",7,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,154,"MEX",3.01,2.46,9610,100.46,51880.32
"micronesia, fed. sts.","FSM","FSM","East Asia & Pacific","Lower middle income",2018,58.8,100,"Yes","Yes","Yes","Yes",25,"Yes","No","No","No",75,"No","Yes","Yes","Yes",80,"Yes","Yes","No","Yes","Yes",0,"No",0,"No","No",0,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",40,"No","Yes","Yes","No","No",75,"Yes","Yes","Yes","No",TRUE,79,"FSM",2.68,-0.07,3350,106.96,39516.06
"moldova","MDA","MDA","Europe & Central Asia","Upper middle income",2018,84.4,100,"Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",50,"Yes","Yes","No","No",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes",126,"Yes","Yes",14,"Yes",1039,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",50,"No","No","Yes","Yes",TRUE,150,"MDA",2.75,-4.9,3850,98.9,25983.5
"mongolia","MNG","MNG","East Asia & Pacific","Lower middle income",2018,82.5,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",60,"Yes",120,"Yes","No",0,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",25,"No","No","Yes","No",TRUE,163,"MNG",14.81,6.51,3700,126.23,39835.62
"montenegro","MNE","MNE","Europe & Central Asia","Upper middle income",2018,78.8,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",0,"No","No","No","No",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",45,"Yes","No",0,"Yes",365,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",50,"No","No","Yes","Yes",TRUE,162,"MNE",8.82,3.31,8450,101.01,63047.94
"morocco","MAR","MAR","Middle East & North Africa","Lower middle income",2018,73.1,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",50,"Yes","Yes","No","No",40,"Yes","Yes","No","No","No",80,"Yes",98,"Yes","Yes",3,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",40,"Yes","No","No","Yes","No",75,"Yes","Yes","Yes","No",TRUE,148,"MAR",2.78,4.47,3380,91.49,29082.07
"mozambique","MOZ","MOZ","Sub-Saharan Africa","Low income",2018,79.4,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",50,"No","Yes","No","Yes",100,"Yes","Yes","Yes","Yes","Yes",60,"No",60,"Yes","Yes",1,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",50,"No","Yes","No","Yes",TRUE,165,"MOZ",11.17,3.35,470,114.83,3582.65
"myanmar","MMR","MMR","East Asia & Pacific","Lower middle income",2018,58.8,75,"Yes","Yes","No","Yes",25,"Yes","No","No","No",50,"No","Yes","Yes","No",80,"Yes","Yes","No","Yes","Yes",60,"Yes",98,"Yes","Yes",21,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",80,"Yes","Yes","Yes","Yes","No",25,"No","No","Yes","No",TRUE,160,"MMR",2.61,2.69,1300,98.84,13381.3
"namibia","NAM","NAM","Sub-Saharan Africa","Upper middle income",2018,80,75,"Yes","Yes","No","Yes",75,"Yes","Yes","Yes","No",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",40,"No",84,"Yes","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,171,"NAM",1.71,4,5000,102.32,39942.54
"nepal","NPL","NPL","South Asia","Lower middle income",2018,55.6,100,"Yes","Yes","Yes","Yes",75,"Yes","No","Yes","Yes",50,"No","No","Yes","Yes",80,"Yes","Yes","Yes","No","Yes",0,"No",52,"No","No",0,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",40,"Yes","No","No","Yes","No",25,"No","No","Yes","No",TRUE,178,"NPL",0.21,2.61,1110,88.94,17542.6
"netherlands","NLD","NLD","High income: OECD","High income",2018,97.5,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",112,"Yes","Yes",2,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,176,"NLD",-31.31,-1.29,50540,99.75,127398.61
"new zealand","NZL","NZL","High income: OECD","High income",2018,94.4,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",0,"Yes","No",0,"Yes",126,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,180,"NZL",1.19,6.8,41650,108.81,86475.82
"nicaragua","NIC","NIC","Latin America & Caribbean","Lower middle income",2018,86.3,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",40,"No",84,"No","Yes",7,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,175,"NIC",6.43,1.08,1940,88.94,15977.12
"niger","NER","NER","Sub-Saharan Africa","Low income",2018,53.8,75,"No","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",50,"Yes","Yes","No","No",20,"Yes","No","No","No","No",60,"Yes",98,"No","Yes",1,"No",0,0,0,"Yes",50,"No","Yes","Yes","No",0,"No","No","No","No","No",100,"Yes","Yes","Yes","Yes",TRUE,173,"NER",3.63,7.9,570,92.23,4152.09
"nigeria","NGA","NGA","Sub-Saharan Africa","Lower middle income",2018,63.1,50,"No","Yes","No","Yes",75,"Yes","No","Yes","Yes",50,"No","Yes","Yes","No",100,"Yes","Yes","Yes","Yes","Yes",0,"No",84,"No","No",0,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",80,"Yes","Yes","Yes","Yes","No",75,"Yes","Yes","Yes","No",TRUE,174,"NGA",0.18,2.12,2020,121.96,18504.25
"north macedonia","MKD","MKD","Europe & Central Asia","Upper middle income",2018,85,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",50,"No","Yes","Yes","No",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",270,"Yes","Yes",2,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",50,"No","No","Yes","Yes",TRUE,157,"MKD",5.11,8.27,6050,96.98,58230.72
"norway","NOR","NOR","High income: OECD","High income",2018,96.9,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes",0,"Yes","Yes",0,"Yes",182,91,70,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,177,"NOR",-1.29,-1.23,80970,107.34,172911.89
"oman","OMN","OMN","Middle East & North Africa","High income",2018,32.5,0,"No","No","No","No",50,"Yes","No","Yes","No",25,"No","No","No","Yes",20,"Yes","No","No","No","No",0,"No",50,"No","No",0,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",40,"Yes","No","No","Yes","No",50,"No","Yes","Yes","No",TRUE,182,"OMN",6.12,21.81,17250,92.92,73022.93
"pakistan","PAK","PAK","South Asia","Lower middle income",2018,50,75,"Yes","Yes","No","Yes",100,"Yes","Yes","Yes","Yes",25,"No","No","Yes","No",60,"Yes","Yes","Yes","No","No",0,"No",84,"No","No",0,"No",0,0,0,"No",50,"No","Yes","No","Yes",40,"Yes","No","No","Yes","No",50,"No","No","Yes","Yes",TRUE,184,"PAK",0.49,3.88,1610,104.57,17855.63
"palau","PLW","PLW","East Asia & Pacific","Upper middle income",2018,56.3,100,"Yes","Yes","Yes","Yes",25,"Yes","No","No","No",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",0,"No",0,"No","No",0,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",0,"No","No","No","No","No",75,"Yes","Yes","Yes","No",TRUE,188,"PLW",17.44,-3.88,16170,100.44,39516.06
"panama","PAN","PAN","Latin America & Caribbean","High income",2018,79.4,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",50,"No","Yes","No","Yes",80,"Yes","Yes","Yes","Yes","No",80,"Yes",98,"Yes","Yes",3,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",50,"No","No","Yes","Yes",TRUE,185,"PAN",7.45,2.78,14820,101.85,73231.63
"papua new guinea","PNG","PNG","East Asia & Pacific","Lower middle income",2018,60,75,"Yes","Yes","No","Yes",50,"Yes","Yes","No","No",25,"No","Yes","No","No",100,"Yes","Yes","Yes","Yes","Yes",0,"No",0,"No","No",0,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",80,"Yes","Yes","Yes","Yes","No",75,"Yes","Yes","Yes","No",TRUE,189,"PNG",1.27,4.57,2330,105.59,14228.02
"paraguay","PRY","PRY","Latin America & Caribbean","Upper middle income",2018,94.4,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",98,"Yes","Yes",14,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,195,"PRY",0.56,2.2,6040,96.95,32806.83
"peru","PER","PER","Latin America & Caribbean","Upper middle income",2018,95,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",80,"Yes","Yes","Yes","Yes","No",80,"Yes",98,"Yes","Yes",4,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,186,"PER",2.64,9.63,6430,106.73,28210.18
"philippines","PHL","PHL","East Asia & Pacific","Lower middle income",2018,78.8,75,"Yes","Yes","No","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",60,"Yes","Yes","Yes","No","No",60,"No",60,"Yes","Yes",7,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",60,"No","Yes","Yes","No","Yes",75,"Yes","Yes","Yes","No",TRUE,187,"PHL",2.87,1.12,3640,96.34,23073.24
"poland","POL","POL","High income: OECD","High income",2018,93.8,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes",140,"Yes","Yes",14,"Yes",224,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",50,"No","Yes","No","Yes",TRUE,190,"POL",3.26,-9.64,14180,98.09,78933.92
"portugal","PRT","PRT","High income: OECD","High income",2018,97.5,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",80,"Yes","Yes","Yes","Yes","No",100,"Yes",0,"Yes","Yes",35,"Yes",78,42,30,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,194,"PRT",3.24,-1.06,22060,98.84,82779.93
"puerto rico","PRI","PRI","Latin America & Caribbean","High income",2018,81.3,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",80,"Yes","Yes","Yes","Yes","No",20,"No",56,"No","No",0,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,192,"PRI",2.68,2.73,21010,101.01,135119.84
"qatar","QAT","QAT","Middle East & North Africa","High income",2018,29.4,25,"No","No","Yes","No",0,"No","No","No","No",50,"No","Yes","No","Yes",20,"No","Yes","No","No","No",0,"No",50,"No","No",0,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",40,"Yes","No","No","Yes","No",25,"No","No","Yes","No",TRUE,200,"QAT",-1.19,15.69,59150,112.59,142600.36
"romania","ROM","ROU","Europe & Central Asia","High income",2018,90.6,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes",126,"Yes","Yes",21,"Yes",607,30,30,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",25,"No","No","No","Yes",TRUE,201,"ROU",3.02,13.75,11520,98.04,79634.58
"russian federation","RUS","RUS","Europe & Central Asia","Upper middle income",2018,73.1,100,"Yes","Yes","Yes","Yes",50,"Yes","Yes","No","No",50,"Yes","Yes","No","No",80,"Yes","Yes","No","Yes","Yes",80,"Yes",140,"Yes","No",0,"Yes",475,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",50,"No","No","Yes","Yes",TRUE,202,"RUS",0.53,1.66,10180,108.09,76475.41
"rwanda","RWA","RWA","Sub-Saharan Africa","Low income",2018,78.1,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",80,"Yes","Yes","Yes","Yes","No",20,"No",84,"No","Yes",4,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,203,"RWA",3.8,6.11,770,106.09,7697.65
"samoa","WSM","WSM","East Asia & Pacific","Lower middle income",2018,75,75,"Yes","Yes","No","Yes",100,"Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",40,"No",28,"No","Yes",7,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",60,"No","Yes","Yes","No","Yes",75,"Yes","Yes","Yes","No",TRUE,260,"WSM",1.9,-7.78,4060,101.45,22261.78
"san marino","SMR","SMR","Europe & Central Asia","High income",2018,80,100,"Yes","Yes","Yes","Yes",50,"Yes","Yes","No","No",75,"No","Yes","Yes","Yes",80,"Yes","Yes","Yes","Yes","No",60,"Yes",635,"Yes","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,212,"SMR",2.68,-18.69,42250,101.01,39516.06
"sao tome and principe","STP","STP","Sub-Saharan Africa","Lower middle income",2018,68.8,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",0,"No","No","No","No",80,"Yes","Yes","Yes","Yes","No",20,"No",60,"Yes","No",0,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",TRUE,219,"STP",6.18,-8.72,1660,76.08,20756.53
"saudi arabia","SAU","SAU","Middle East & North Africa","High income",2018,31.9,0,"No","No","No","No",25,"Yes","No","No","No",25,"Yes","No","No","No",20,"No","No","Yes","No","No",20,"No",70,"No","Yes",3,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",40,"Yes","No","No","Yes","No",50,"No","Yes","No","Yes",TRUE,205,"SAU",1.43,2.14,22030,125,122814.31
"senegal","SEN","SEN","Sub-Saharan Africa","Lower middle income",2018,63.8,75,"No","Yes","Yes","Yes",75,"Yes","No","Yes","Yes",25,"No","Yes","No","No",60,"Yes","No","Yes","Yes","No",60,"Yes",98,"Yes","Yes",1,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",40,"Yes","No","No","Yes","No",100,"Yes","Yes","Yes","Yes",TRUE,207,"SEN",3.67,8.1,1420,102.14,14967.16
"serbia","SRB","SRB","Europe & Central Asia","Upper middle income",2018,93.8,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes",135,"Yes","Yes",7,"Yes",230,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",50,"No","No","Yes","Yes",TRUE,214,"SRB",8.04,15.11,6410,97.79,48457.1
"seychelles","SYC","SYC","Sub-Saharan Africa","High income",2018,76.3,75,"Yes","Yes","No","Yes",50,"Yes","Yes","No","No",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",98,"Yes","Yes",7,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",80,"Yes","Yes","Yes","Yes","No",75,"Yes","Yes","Yes","No",TRUE,226,"SYC",17.1,8.3,17620,104.66,39516.06
"sierra leone","SLE","SLE","Sub-Saharan Africa","Low income",2018,63.1,100,"Yes","Yes","Yes","Yes",25,"Yes","No","No","No",50,"No","Yes","Yes","No",100,"Yes","Yes","Yes","Yes","Yes",0,"No",84,"No","No",0,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",80,"Yes","Yes","Yes","Yes","No",75,"Yes","Yes","Yes","No",TRUE,210,"SLE",6.13,3.91,510,117.83,5221.45
"singapore","SGP","SGP","East Asia & Pacific","High income",2018,82.5,100,"Yes","Yes","Yes","Yes",75,"Yes","No","Yes","Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",60,"Yes",91,"No","Yes",14,"Yes",28,0,0,"No",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,208,"SGP",21.76,3.11,56550,95.01,201102.83
"slovak republic","SVK","SVK","High income: OECD","High income",2018,94.4,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",238,"Yes","No",0,"Yes",899,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,221,"SVK",2.12,13.59,18400,102.82,77230.02
"slovenia","SVN","SVN","High income: OECD","High income",2018,90.6,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes",105,"Yes","Yes",21,"Yes",0,130,130,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",50,"No","No","Yes","Yes",TRUE,222,"SVN",2.84,20.97,24650,98.06,93028.67
"solomon islands","SLB","SLB","East Asia & Pacific","Lower middle income",2018,56.9,75,"Yes","Yes","No","Yes",25,"Yes","No","No","No",25,"No","No","Yes","No",100,"Yes","Yes","Yes","Yes","Yes",0,"No",84,"No","No",0,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",80,"Yes","Yes","Yes","Yes","No",75,"Yes","Yes","Yes","No",TRUE,209,"SLB",1.55,0.38,2320,96.76,5781.62
"somalia","SOM","SOM","Sub-Saharan Africa","Low income",2018,46.9,75,"No","Yes","Yes","Yes",50,"Yes","Yes","No","No",50,"Yes","No","Yes","No",20,"Yes","No","No","No","No",40,"Yes",98,"No","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",40,"Yes","No","No","Yes","No",25,"No","No","Yes","No",TRUE,213,"SOM",4.93,2.73,550,105.27,10685.02
"south africa","ZAF","ZAF","Sub-Saharan Africa","Upper middle income",2018,88.1,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",120,"Yes","Yes",3,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",25,"No","No","Yes","No",TRUE,263,"ZAF",1.37,0.49,6390,105.94,47334.85
"south sudan","SSD","SSD","Sub-Saharan Africa","Low income",2018,49.4,100,"Yes","Yes","Yes","Yes",75,"Yes","No","Yes","Yes",0,"No","No","No","No",80,"Yes","Yes","No","Yes","Yes",20,"No",56,"No","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",20,"No","Yes","No","No","No",25,"No","No","Yes","No",TRUE,216,"SSD",2.68,2.73,5715,101.01,39516.06
"spain","ESP","ESP","High income: OECD","High income",2018,97.5,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",112,"Yes","Yes",30,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,70,"ESP",4.12,7.5,29330,97.66,110408.48
"sri lanka","LKA","LKA","South Asia","Lower middle income",2018,63.1,100,"Yes","Yes","Yes","Yes",75,"Yes","No","Yes","Yes",25,"No","No","Yes","No",100,"Yes","Yes","Yes","Yes","Yes",20,"No",84,"No","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",60,"Yes","No","Yes","Yes","No",50,"No","Yes","Yes","No",TRUE,138,"LKA",1.71,6.27,4360,105.6,39367.63
"st. kitts and nevis","KNA","KNA","Latin America & Caribbean","High income",2018,71.3,100,"Yes","Yes","Yes","Yes",25,"Yes","No","No","No",50,"No","Yes","Yes","No",100,"Yes","Yes","Yes","Yes","Yes",40,"No",91,"Yes","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",80,"Yes","Yes","Yes","Yes","No",100,"Yes","Yes","Yes","Yes",TRUE,125,"KNA",3.72,1.22,21580,94.51,39516.06
"st. lucia","LCA","LCA","Latin America & Caribbean","Upper middle income",2018,83.8,75,"Yes","Yes","No","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",80,"Yes","Yes","Yes","No","Yes",40,"No",91,"Yes","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,133,"LCA",2.21,13.86,11010,103.77,48578.43
